파아, 67, 195
라아, 89, 187
사라, 75, 149
라가, 85, 166
카가, 78, 173
하자, 83, 160
타아, 56, 166
아바, 47, 189
카하, 85, 150
파타, 62, 179
바마, 49, 165
자파, 58, 193
차다, 44, 147
라마, 66, 181
자라, 79, 184
사사, 93, 174
사다, 54, 183
자나, 50, 188
나아, 61, 143
카차, 65, 144
자사, 76, 190
파나, 87, 192
나파, 82, 181
라카, 68, 166
하하, 84, 154
하타, 53, 195
아가, 78, 185
사자, 46, 194
아자, 40, 173
다가, 62, 157
나마, 92, 195
나라, 83, 190
라나, 81, 142
카나, 70, 167
카타, 53, 165
사타, 52, 156
다마, 47, 150
타카, 55, 158
타가, 94, 191
나가, 44, 141
사카, 73, 140
차파, 46, 196
자하, 47, 158
자라, 84, 182
사마, 63, 166
나마, 52, 152
파마, 45, 168
자가, 80, 187
사아, 62, 187
하타, 80, 177
아사, 47, 197
라카, 44, 157
카사, 82, 140
나사, 70, 194
사아, 66, 196
아파, 74, 165
마바, 40, 192
라하, 68, 189
파나, 58, 155
파다, 65, 197
사나, 98, 154
가타, 58, 151
라마, 42, 142
라사, 69, 171
마라, 59, 170
아사, 78, 190
아사, 95, 178
가하, 96, 163
가자, 43, 189
아차, 57, 184
바자, 86, 188
사마, 49, 171
파자, 51, 185
가사, 41, 140
가사, 86, 193
바라, 44, 175
바타, 87, 173
마카, 81, 176
타차, 88, 172
나마, 42, 189
가사, 58, 150
카파, 56, 193
카아, 42, 166
마자, 51, 161
바마, 91, 172
차하, 77, 195
하타, 45, 147
자가, 42, 168
가파, 85, 181
다아, 55, 155
바마, 82, 197
마바, 62, 160
바바, 77, 191
하파, 91, 164
파다, 65, 189
타바, 94, 159
라카, 69, 144
하마, 52, 140
다바, 46, 148
다타, 52, 194
라자, 98, 175
아자, 76, 156
타카, 97, 144
파하, 40, 197
아파, 47, 141
사타, 41, 143
가하, 83, 188
나가, 54, 163
사하, 44, 197
바바, 88, 194
마타, 96, 146
파나, 61, 145
라하, 94, 164
파타, 63, 145
파자, 67, 192
타다, 47, 168
차바, 54, 199
아라, 81, 183
자파, 91, 155
카사, 56, 180
바다, 58, 187
다하, 43, 157
사라, 41, 153
파아, 57, 171
아차, 44, 156
바사, 72, 186
아자, 41, 181
파타, 44, 149
사마, 42, 183
가나, 97, 182
카사, 92, 184
차라, 60, 188
파아, 62, 170
라다, 60, 144
차마, 41, 146
다아, 90, 168
자가, 83, 168
가아, 84, 144
나차, 95, 160
라나, 63, 142
사아, 50, 168
마아, 95, 176
사카, 54, 167
마가, 76, 180
나가, 49, 141
자하, 78, 166
다사, 79, 176
타파, 85, 158
하차, 73, 199
사자, 77, 175
가차, 68, 198
아라, 85, 157
하자, 50, 163
하차, 77, 140
카사, 57, 143
가다, 46, 197
타차, 79, 155
카차, 64, 194
다다, 54, 146
아바, 62, 185
카가, 48, 149
라나, 89, 153
사바, 70, 147
마카, 79, 174
바다, 88, 147
다다, 65, 187
다하, 98, 173
사하, 57, 193
사아, 55, 188
마다, 62, 157
사사, 53, 154
사마, 62, 184
나가, 80, 185
파파, 43, 157
아마, 51, 183
카나, 43, 154
아카, 95, 191
아자, 47, 154
바하, 54, 161
하마, 66, 198
파사, 97, 146
바다, 42, 192
타하, 70, 181
사타, 46, 143
사하, 85, 153
하바, 54, 167
자라, 49, 190
마마, 79, 187
가아, 91, 177
나아, 43, 152
차바, 46, 179
다가, 88, 193
하라, 73, 176
다타, 86, 166
카자, 66, 177
아다, 46, 148
바아, 55, 172
카라, 53, 186
파가, 69, 150
아타, 42, 171
라사, 82, 181
다다, 87, 171
라파, 83, 164
파카, 96, 177
라가, 48, 160
나라, 76, 196
나다, 57, 159
하카, 61, 150
카아, 56, 184
파가, 89, 195
아사, 55, 182
다자, 88, 154
파자, 86, 192
차카, 40, 171
다자, 67, 181
차바, 85, 175
다마, 54, 170
파하, 95, 183
마파, 60, 191
타타, 87, 164
다아, 66, 164
마바, 52, 188
바자, 91, 160
파다, 72, 149
바자, 97, 178
파타, 93, 198
마바, 82, 148
나바, 79, 193
나자, 97, 194
마라, 64, 184
다카, 52, 142
바라, 99, 191
마마, 51, 156
가라, 45, 171
가가, 49, 147
자하, 66, 190
다바, 80, 186
아가, 84, 159
다마, 76, 140
자마, 87, 171
타나, 50, 164
하다, 82, 168
파카, 87, 194
라라, 42, 193
하카, 96, 156
하마, 86, 189
파라, 94, 183
다마, 43, 148
마다, 70, 188
하라, 97, 185
자가, 85, 194
바타, 82, 173
타바, 92, 161
다라, 79, 165
